"Rank","NCT Number","Title","Acronym","Status","Study Results","Interventions","Phases","Results First Posted","URL"
1,"NCT02266147","Study of SD-101 in Combination With Localized Low-dose Radiation in Patients With Untreated Low-grade B-cell Lymphoma",,"Completed","No Results Available","Drug: SD-101|Radiation: Radiation therapy","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02266147"
2,"NCT02055924","Bruton's Tyrosine Kinase (BTK) Inhibition in B-cell Lymphomas","BIBLOS","Terminated","No Results Available","Drug: Ibrutinib and immunochemotherapies","Phase 1","null","https://ClinicalTrials.gov/show/NCT02055924"
3,"NCT02395601","A Study Evaluating CPI-1205 in Patients With B-Cell Lymphomas",,"Active, not recruiting","No Results Available","Drug: CPI-1205","Phase 1","null","https://ClinicalTrials.gov/show/NCT02395601"
4,"NCT00162656","Treatment of Mature B-cell Lymphoma/Leukaemia",,"Completed","No Results Available","Drug: half cyclophosphamide|Drug: without COPADM3|Drug: mini CYVE, without 3 maintenance courses|Drug: LMB B|Drug: LMB C","Phase 3","null","https://ClinicalTrials.gov/show/NCT00162656"
5,"NCT03424122","INCB050465 in Combination With Rituximab, Bendamustine and Rituximab, or Ibrutinib in Participants With Previously Treated B-Cell Lymphoma (CITADEL-112)",,"Recruiting","No Results Available","Drug: INCB050465|Drug: Rituximab|Drug: Bendamustine|Drug: Ibrutinib","Phase 1","null","https://ClinicalTrials.gov/show/NCT03424122"
6,"NCT02247609","Evaluation of 4th Generation Safety-designed CAR T Cells Targeting High-risk and Refractory B Cell Lymphomas","4SCAR19273","Unknown status","No Results Available","Genetic: Anti-CD19 CAR T cells","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02247609"
7,"NCT01478269","Prognosis Of Patients With Aggressive B-Cell Lymphoma, Treated With Rituximab+Anthracycline Regimen","ProDLBCL","Completed","No Results Available","","","null","https://ClinicalTrials.gov/show/NCT01478269"
8,"NCT03664336","Refractory Diffuse Large B-cell Lymphoma",,"Completed","No Results Available","","","null","https://ClinicalTrials.gov/show/NCT03664336"
9,"NCT03258047","Novel Autologou CAR-T Therapy for Relapsed/Refractory B Cell Lymphoma",,"Recruiting","No Results Available","Combination Product: CAR-T","Phase 2","null","https://ClinicalTrials.gov/show/NCT03258047"
10,"NCT02433795","Bendamustine Plus Rituximab (BR) for Relapsed or Progressive Marginal Zone B-cell Lymphoma (MZBCL)",,"Active, not recruiting","No Results Available","Drug: bendamustine plus rituximab","Phase 2","null","https://ClinicalTrials.gov/show/NCT02433795"
11,"NCT03146533","CD19 CART Cells for Patients With Relapse and Refractory CD19+ B-cell Lymphoma.",,"Recruiting","No Results Available","Drug: Fludarabine|Drug: Cyclophosphamide|Biological: CD19 CART","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT03146533"
12,"NCT02547948","CD19-targeting CAR T Cells for B Cell Lymphoma",,"Completed","No Results Available","Biological: CD19-targeting CAR T Cells infusion","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02547948"
13,"NCT03189524","A Study to Investigate BGB-3111 in Chinese Patients With B-cell Lymphoma",,"Recruiting","No Results Available","Drug: BGB-3111","Phase 1","null","https://ClinicalTrials.gov/show/NCT03189524"
14,"NCT03101709","The Safety and Efficacy of CART-19 Cells in Relapse and Refractory Patients With CD19+ B-cell Lymphoma",,"Recruiting","No Results Available","Drug: Cyclophosphamide|Drug: Fludarabine|Biological: CART-19","Phase 1","null","https://ClinicalTrials.gov/show/NCT03101709"
15,"NCT03670888","A Study to Compare the Bioequivalence and Safety of JHL1101 and Rituximab in CD20 Positive B Cell Lymphoma Patients",,"Not yet recruiting","No Results Available","Biological: JHL1101|Biological: Rituximab","Phase 1","null","https://ClinicalTrials.gov/show/NCT03670888"
16,"NCT02842138","Autologous CD19 CAR T Cells in Relapsed or Refractory B-cell Lymphoma",,"Recruiting","No Results Available","Biological: autologous anti-CD19 CAR T cells","Phase 1","null","https://ClinicalTrials.gov/show/NCT02842138"
17,"NCT03218072","A Study to Evaluate Safety, Tolerability, PK and PD of HLX01 in Patients With CD20-positive B-cell Lymphomas",,"Completed","No Results Available","Drug: HLX01","Phase 1","null","https://ClinicalTrials.gov/show/NCT03218072"
18,"NCT02741388","A Phase Ib Study of Oral Selinexor in Adult Patients With Relapsed/Refractory B-cell Lymphoma Receiving R-DHAOx or R-GDP","SELINDA","Recruiting","No Results Available","Drug: selinexor|Drug: Rituximab|Drug: Dexamethasone|Drug: Oxaliplatin|Drug: Cisplatin|Drug: Cytarabine|Drug: Gemcitabine","Phase 1","null","https://ClinicalTrials.gov/show/NCT02741388"
19,"NCT02060435","Epstein-Barr Virus Status in Diffuse Large B Cell Lymphoma",,"Completed","No Results Available","Other: EBER","","null","https://ClinicalTrials.gov/show/NCT02060435"
20,"NCT02060656","Phase II Study Comparing LR-GEM to R-GEM-P in Second-line Treatment of Diffuse Large B-cell Lymphoma (LEGEND)","LEGEND","Unknown status","No Results Available","Drug: Gemcitabine|Drug: Methylprednisolone|Drug: Rituximab|Drug: Cisplatin|Drug: Lenalidomide","Phase 2","null","https://ClinicalTrials.gov/show/NCT02060656"
21,"NCT01068392","Oxaliplatin and Prednisolone (Ox-P) for Patients With Relapsed or Refractory Marginal Zone B-cell Lymphoma(MZL)",,"Completed","No Results Available","Drug: Oxaliplatin, Prednisolone","Phase 2","null","https://ClinicalTrials.gov/show/NCT01068392"
22,"NCT02531308","Metformin in Combination With Standard Induction Therapy for Large B-cell Lymphoma (DLBCL)","DLBCL","Terminated","Has Results","Drug: Metformin|Drug: Rituximab|Drug: Cyclophosphamide|Drug: Doxorubicin|Drug: Vincristine|Drug: Prednisone|Drug: pegfilgrastim","Phase 2","January 27, 2017","https://ClinicalTrials.gov/show/NCT02531308"
23,"NCT02945215","A Study to Assess the Pharmacokinetics and Safety of Recombinant Human Murine Chimeric Anti CD20 Monoclonal Antibody Injection (IBI301) Compared to Rituximab Injection in CD20 Positive B Cell Lymphoma Patients",,"Recruiting","No Results Available","Drug: IBI301|Drug: Rituximab","Phase 1","null","https://ClinicalTrials.gov/show/NCT02945215"
24,"NCT00944567","A Clinico-Pathologic Study of Primary Mediastinal B-Cell Lymphoma",,"Completed","No Results Available","","","null","https://ClinicalTrials.gov/show/NCT00944567"
25,"NCT03692767","Study of Anti-CD22 CAR NK Cells in Relapsed and Refractory B Cell Lymphoma",,"Not yet recruiting","No Results Available","Biological: Anti-CD22 CAR NK Cells","Early Phase 1","null","https://ClinicalTrials.gov/show/NCT03692767"
26,"NCT03690310","Study of Anti-CD19 CAR NK Cells in Relapsed and Refractory B Cell Lymphoma",,"Not yet recruiting","No Results Available","Biological: Anti-CD19 CAR NK Cells","Early Phase 1","null","https://ClinicalTrials.gov/show/NCT03690310"
