,NCT Number,Title,Interventions,Phases,Official Title
0,NCT02266147,studi of sd101 in combin with local lowdos radiat in patient with untreat lowgrad bcell lymphoma,['sd-101'],"['1', '2']",a phase 12 nonrandomized openlabel multicenter dose escal and expans studi of intratumor inject of sd101 in combin with local lowdos radiat in patient with untreat lowgrad bcell lymphoma
1,NCT02055924,bruton tyrosin kinas btk inhibit in bcell lymphoma,"['ibrutinib', 'immunochemotherapies']",['1'],a phase ib studi of ibrutinib combin with rdhap or rdhaox in patient with bcell lymphoma
2,NCT02395601,a studi evalu cpi1205 in patient with bcell lymphoma,['cpi-1205'],['1'],a phase 1 studi of cpi1205 a small molecul inhibitor of ezh2 in patient with bcell lymphoma
3,NCT00162656,treatment of matur bcell lymphomaleukaemia,"['half cyclophosphamide', 'without copadm3', 'mini cyve', 'without 3 maintenance courses', 'lmb b', 'lmb c']",['3'],treatment of matur bcell lymphomaleukaemia a sfop lmb 96ccg 5961ukccsg nhl 9600 cooper studi
9,NCT02433795,bendamustin plus rituximab br for relaps or progress margin zone bcell lymphoma mzbcl,"['bendamustine', 'rituximab']",['2'],a phase ii studi of bendamustin plus rituximab br in patient with relaps or progress margin zone bcell lymphoma mzbcl
19,NCT02060656,phase ii studi compar lrgem to rgemp in secondlin treatment of diffus larg bcell lymphoma legend,"['gemcitabine', 'methylprednisolone', 'rituximab', 'cisplatin', 'lenalidomide']",['2'],a randomis phase ii studi compar lenalidomid plus rituximab gemcitabin and methylprednisolon lrgem to rituximab gemcitabine methylprednisolon and cisplatin rgemp in secondlin treatment of diffus larg bcell lymphoma dlbcl
20,NCT01068392,oxaliplatin and prednisolon oxp for patient with relaps or refractori margin zone bcell lymphomamzl,"['oxaliplatin', 'prednisolone']",['2'],a phase ii studi of oxaliplatin and prednisolon oxp for patient with relaps or refractori margin zone bcell lymphoma
21,NCT02531308,metformin in combin with standard induct therapi for larg bcell lymphoma dlbcl,"['metformin', 'rituximab', 'cyclophosphamide', 'doxorubicin', 'vincristine', 'prednisone', 'pegfilgrastim']",['2'],a phase ll studi evalu the efficaci and safeti of metformin in combin with standard induct therapi rmchop for previous untreat aggress diffus larg bcell lymphoma
26,NCT00097929,an investig drug studi with suberoylanilid hydroxam acid in relaps diffus larg bcell lymphoma 0683013,"['mk0683', 'vorinostat', 'suberoylanilide hydroxamic acid ']",['2'],a phase ii clinic trial of oral suberoylanilid hydroxam acid saha in patient with relaps diffus larg bcell lymphoma dlbcl
27,NCT01226849,feasibl studi of ad bortezomib to rice chemotherapi to treat relapsed refractori diffus larg bcell lymphoma,"['bortezomib', 'rituximab', 'ifosphamide', 'etoposide', 'carboplatin']",['1'],an openlabel pilot studi to investig feasibl and safeti of use bortezomib rituximab ifosfamide carboplatin etoposid as salvag regim in previous treat patient with diffus larg bcell lymphoma
29,NCT00801216,highdos sequenti chemoimmunotherapi for bcell lymphoma with central nervous system involv,"['high-dose sequential chemotherapy', 'autologous transplant']",['2'],highdos sequenti chemotherapi and rituximab rhds in patient with system bcell lymphoma with central nervous system involv at diagnosi or relaps
30,NCT00761384,high dose absorb dose adjust 90yibritumomab with peripher blood stem cell pbsc support in bcell lymphoma,['90y-ibritumomab'],"['1', '2']",a prospect studi with individu adjust high dose 90yibritumomab tiuxetan treatment with peripher blood stem cell support to improv outcom for patient with refractoryrecurr bcell lymphoma stage iiiv
31,NCT00965289,highdos chemotherapi with rituximab for adult with aggress larg bcell lymphoma,['rituximab'],['2'],frontlin highdos chemotherapi hdt combin with rituximab for adult with aggress larg bcell lymphoma dlbcl  goelam 074 trial
35,NCT02733380,chidamid combin with vddt regimen in the relaps and refractori diffus larg b cell lymphoma,"['chidamide', 'vinorelbine', 'liposomal doxorubicin or mitoxantrone', 'dexamethasone', 'thalidomide']",['2'],the efficaci and safeti of chidamid combin with vddt regimen（vinorelbine，liposom doxorubicin，dexamethason and thalidomide） in relaps and refractori patient with diffus larg b cell lymphoma
40,NCT00906841,studi of 90ydotahll2 as a consolid therapi after rchop in patient with diffus larg bcell lymphoma,['90y-dota'],['2'],phase ii studi of evalu of fraction radioimmunotherapi with 90ydotahll2 as a consolid therapi after first line of chemotherapi in patient older than 60 with dissemin diffus larg bcell lymphoma
41,NCT01626352,studi of bendamustin and ofatumumab in elder patient with newli diagnos diffus larg bcell lymphoma who are poor candid for rchop chemotherapi,"['bendamustine', 'ofatumumab']",['2'],phase ii studi of bendamustin and ofatumumab in elder patient with newli diagnos diffus larg bcell lymphoma who are poor candid for rchop chemotherapi
44,NCT01402440,studi of aeb071 a protein kinas c inhibitor in patient with cd79mutant diffus larg bcell lymphoma,['aeb071'],['1'],an openlabel singlearm phase i studi of aeb071 a protein kinas c inhibitor in patient with cd79mutant diffus larg bcell lymphoma
45,NCT01854606,safeti and efficaci of aeb071 and everolimus in patient with cd79mutant or abc subtyp diffus larg bcell lymphoma,"['aeb071', 'everolimus']",['1'],an openlabel singlearm phase ibii studi of aeb071 a protein kinas c inhibitor and everolimus mtor inhibitor in patient with cd79mutant or abc subtyp diffus larg bcell lymphoma
49,NCT02227251,a phase 2b openlabel studi of selinexor kpt330 in patient with relapsedrefractori diffus larg bcell lymphoma dlbcl,['selinexor'],['2'],selinexor kpt330 in patient with relapsedrefractori diffus larg bcell lymphoma dlbcl
51,NCT00169468,associ of velcad to rchop in the treatment of b cell lymphoma,['rituximab '],['2'],phase ii studi of the associ of velcad to rchop in the treatment of b cell lymphoma
54,NCT01046825,matur bcell lymphoma and leukemia studi iii,"['copad', 'cop', 'copd m3', 'cym', 'cop', 'copadm8', 'cyve']","['2', '3']",matur bcell lymphoma and leukemia studi iii
56,NCT00895661,high dose rituximab for initi treatment of indol bcell lymphoma,['rituximab'],['2'],phase ii trial of increas dose rituximab plus mainten rituximab for initi system treatment of indol bcell lymphoma
61,NCT01799083,lower dose decitabin base therapi in patient with refractori andor chemotherapi resist solid tumor or b cell lymphoma,['decitabine'],"['1', '2']",phase 12 studi of decitabin alon andor in combin with chemotherapi andor cytokin induc killer cell transfus in patient with relaps or refractori solid tumor and b cell lymphoma
62,NCT01499303,studi to learn if 200mg test drug fostamatinib help peopl with larg bcell lymphomaa type of blood cancer,['fostamatinib'],['2'],phase ii trial to evalu the efficaci of fostamatinib in patient with relaps or refractori diffus larg bcell lymphomadlbcl
65,NCT01622439,valproat as first line therapi in combin with rituximab and chop in diffus larg bcell lymphoma,"['valproate', 'rituximab', 'cyclophosphamide', 'doxorubicin', 'vincristine', 'prednisone']","['1', '2']",valproat as first line therapi in combin with rituximab and chop in diffus larg bcell lymphoma
67,NCT01805557,phase ii random studi with rdhap  bortezomib as induct therapi in relapsedrefractori diffus larg bcell lymphoma dlbcl patient elig to transplantation brdhap versus rdhap,"['r-dhap', 'br-dhap']","['2', '3']",phase ii random studi with rdhap  bortezomib as induct therapi in relapsedrefractori diffus larg bcell lymphoma dlbcl patient elig to transplantation brdhap versus rdhap
69,NCT01278602,reshap follow by autolog transplant for refractori or relaps diffus larg bcell lymphoma,['r-eshap'],['2'],a multicent phase ii studi of reshap follow by autolog transplant as salvag treatment for patient with refractori or relaps diffus larg bcell lymphoma
70,NCT00138086,yttrium90 ibritumomab tiuxetan zevalin with beam in relaps low grade bcell lymphoma,"['zevalin', 'beam']",['2'],target intensif by a new prepar regimen for patient with lowgrad bcell lymphoma util standarddos yttrium90 ibritumomab tiuxetan zevalin radioimmunotherapi rit combin with highdos beam follow by autolog stem cell transplant asct
78,NCT01289210,vtx2337 in combin with radiotherapi in patient lowgrad bcell lymphoma,"['vtx-2337', 'radiotherapy']","['1', '2']",a phase iii studi of intratumor inject of the small molecul tlr8 agonist vtx2337 in combin with local radiat in lowgrad bcell lymphoma
83,NCT02595242,safeti and efficaci studi of cnop chemotherapi in diffus larg b cell lymphoma,"['cyclophosphamide', 'vincristine', 'prednisone']",['1'],safeti and efficaci studi of mitoxantron hydrochlorid liposom inject plus cyclophosphamidevincristin and prednison cnopin diffus larg b cell lymphoma
84,NCT01466868,studi of mk 2206 in patient with relaps or refractori diffus larg b cell lymphoma,['mk2206'],['2'],a phase ii studi of mk 2206 in patient with relaps or refractori diffus larg b cell lymphoma
85,NCT01238692,a phase ii studi of oral panobinostat lbh589 and rituximab to treat diffus larg b cell lymphoma dlbcl,"['lbh589', 'rituximab']",['2'],a random phase ii studi of oral panobinostat lbh589 with or without rituximab to treat relaps or refractori diffus larg b cell lymphoma
86,NCT00001271,a phase i studi of continu infus immunotoxin iggrfb4smptdga in refractori cd22 posit bcell lymphoma,['igg-rfb4'],['1'],a phase i studi of continu infus immunotoxin iggrfb4smptdga in refractori cd22 posit bcell lymphoma
87,NCT01949818,treatment of diffus larg b cell lymphoma,"['yangzhengxiaoji capsule combined with chop regimen', 'chop regimen']",['4'],a randomized control mutiplecent clinic research on the treatment with yangzhengxiaoji capsul combin chemotherapi for iiiiv diffus larg b cell lymphoma
90,NCT01676558,a phase ii studi of 131irituximab for relapsedrefractori diffus larg b cell lymphoma dlbcl,['131i-rituximab'],['2'],a phase ii studi of 131irituximab for elder or poor perform status patient with diffus larg b cell lymphoma dlbcl or for adult patient with relaps or refractori dlbcl
93,NCT01282476,panobinostat with rituximab for relapsedrefractori diffus larg b cell lymphoma,['panobinostat with rituximab'],['2'],panobinostat in combin with rituximab for relapsedrefractori diffus larg b cell lymphoma
94,NCT01766583,a phase ib studi of the btki cc292 combin with lenalidomid in adult patient with relapsedrefractori bcell lymphoma,"['cc-292', 'lenalidomide']",['1'],a phase ib studi of the btki cc292 combin with lenalidomid in adult patient with relapsedrefractori bcell lymphoma
96,NCT01556035,lenalidomid in relaps or refractori primarycutan larg bcell lymphoma legtyp  multicentr prospect phase ii singl arm trial of the french studi group of cutan lymphoma,['lenalidomide'],['2'],a multicentr prospect phase ii singl arm trial evalu the benefit of therapi with lenalidomid revlimid® in relaps or refractori primarycutan larg bcell lymphoma legtype after first line treatment by chemotherapi plus rituximab for the french studi group of cutan lymphoma gfelc
97,NCT02449265,efficaci of consolid involvedsit radiotherapi for patient with limitedstag diffus larg bcell lymphoma,"['cyclophosphamide', 'doxorubicin', 'vincristine', 'prednisone']",['3'],efficaci of consolid involvedsit radiotherapi follow suffici chemotherapi for patient with limitedstag diffus larg bcell lymphoma wuhan univers cancer center nhl03 trial
98,NCT02449278,the palliat benefit of involvedsit radiotherapi for patient with advancedstag diffus larg bcell lymphoma,"['cyclophosphamide', 'doxorubicin', 'vincristine', 'prednisone']",['3'],the palliat benefit of involvedsit radiotherapi follow effect chemotherapi for patient with advancedstag diffus larg bcell lymphoma wuhan univers cancer center  nhl04 trial
99,NCT02692248,ibrutinib in patient with refractoryrelaps nongcb diffus larg bcell lymphoma noncandid to autolog stem cell transplant,"['ibrutinib', 'rituximab', 'gemcitabine', 'oxaliplatin', 'dexamethasone']",['2'],multicentr phase ii trial to evalu the efficaci and safeti of ibrutinib in combin with rituximab gemcitabine oxaliplatin and dexamethason follow by ibrutinib mainten in patient with refractoryrelaps nongcb diffus larg bcell lymphoma non candid to asct
100,NCT02412267,studi of ofatumomab in combin with icechemotherapi in patient with diffus larg bcell lymphoma dlbcl,['o-ice '],['2'],an openlabel nonrandom phase 2 studi of ofatumomab o in combin with ice ifosfamide carboplatin etoposidechemotherapi in patient with relapsedrefractori diffus larg bcell lymphoma dlbcl
102,NCT01197560,studi of lenalidomid to evalu safeti and effect in patient with diffus larg bcell lymphoma dlbcl,"['lenalidomide', 'gemcitabine', 'oxaliplatin', 'rituximab', 'etoposide']","['2', '3']",a phase 23 multicenter randomized openlabel studi to compar the efficaci and safeti of lenalidomid revlimid ® versus investig choic in patient with relaps or refractori diffus larg bcell lymphoma
103,NCT01054781,intensifi 1st cycl rituximab plus 8th cycl of rchop chemotherapi in patient with advanc or bulki cd20 diffus larg bcell lymphoma dlbcl,['rituximab'],['2'],openlabelled multicent phase ii studi of intensifi 1st cycl rituximab plus 8th cycl of rchop chemotherapi in patient with advanc or bulki cd20 diffus larg bcell lymphoma dlbcl
105,NCT00776802,gcs100le in combin with etoposid and dexamethason in relaps or refractori diffus larg bcell lymphoma,"['gcs-100', 'etoposide']","['1', '2']",phase 12 studi of gcs100 in combin with etoposid and dexamethason in relaps or refractori diffus larg b cell lymphoma
106,NCT02329080,new combin of chemoimmunotherapi for system bcell lymphoma with central nervous system involv,"['methotrexate', 'rituximab', 'cytarabine', 'thiotepa', 'liposomial cytarabine', 'etoposide', 'ifosfamide', 'carmustine']",['2'],an intern phase ii trial assess toler and efficaci of sequenti methotrexatearacytinbas combin and rice combination follow by hd chemotherapi support by asct in patient with system bcell lymphoma with cns involv at diagnosi or relaps marietta regimen
108,NCT02340936,clinic trial to determin dose secur and efficaci or lenalidomid and rituximab lreshap in patient with diffus larg bcell lymphoma,"['lr-eshap ', 'lr-eshap ', 'lr-eshap ', 'lr-eshap ']","['1', '2']",national openlabel multicentr phase iii studi of combin reshap with lenalidomid as salvag therapi for patient with relaps or refractori diffus larg bcell lymphoma candid to stemcel transplant
110,NCT01164267,multicent phase ii studi to evalu the clinic activ and the safeti profil of everolimus in margin zone bcell lymphoma mzl,['everolimus'],['2'],a multicent phase ii studi to evalu the clinic activ and the safeti profil of everolimus rad001 in margin zone bcell lymphoma mzl eudract number 200901172514
111,NCT02142049,ibrutinib and lenalidomid with dose adjust epochr in subject with relapsedrefractori diffus larg bcell lymphoma,"['ibrutinib', 'part 1']","['1', '2']",a multicent studi of ibrutinib and lenalidomid in combin with daepochr in subject with relaps or refractori diffus larg bcell lymphoma
